"","Taxon","Seed dry mass","Plant height vegetative","Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)","C3","C4","CAM","C3/C4","Non-N-fixer","N-fixer","Graminoid","Woody","Vine","Forb","species","blooming.period..early","blooming.period..early.mid","blooming.period...mid","blooming.period..mid.late","blooming.period..late","MgmtTarget","Dry Prairie","Savanna","NA","Mesic Prairie","Wet Prairie","cover.low","cover.medium","cover.high","cover.very.high","Forbs, Ferns and Fern Allies","Grasses and sedges","Low shrubs","Shrubs","Half shrubs","Climbing plants"
"12","SYMPHORICARPOS ALBUS",13,1.8,0.325,1,0,0,0,1,0,0,1,0,0,"Snowberry and Wolfberry",0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"13","SYMPHORICARPOS ALBUS",1.6,57,0.92,1,0,0,0,1,0,0,1,0,0,"Snowberry and Wolfberry",0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"14","SYMPHORICARPOS ALBUS",0.06,28,18.2842153988582,1,0,0,0,1,0,0,1,0,0,"Snowberry and Wolfberry",0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"15","SYMPHORICARPOS ALBUS",1.9,47,0.452830188679245,1,0,0,0,1,0,0,1,0,0,"Snowberry and Wolfberry",0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"16","CAMPANULA ROTUNDIFOLIA",0.8,26.7,0.4857,1,0,0,0,1,0,0,0,0,1,"Harebell",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"17","CAMPANULA ROTUNDIFOLIA",32.5404,33,14.9552620366425,1,0,0,0,1,0,0,0,0,1,"Harebell",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"18","CAMPANULA ROTUNDIFOLIA",0.06,7,28.6858974358974,1,0,0,0,1,0,0,0,0,1,"Harebell",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"19","CAMPANULA ROTUNDIFOLIA",6.6,89,0.2234,1,0,0,0,1,0,0,0,0,1,"Harebell",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"20","CAMPANULA ROTUNDIFOLIA",768.4,112,0.248023256,1,0,0,0,1,0,0,0,0,1,"Harebell",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"21","CAMPANULA ROTUNDIFOLIA",1.38,68,0.333,1,0,0,0,1,0,0,0,0,1,"Harebell",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"22","CAMPANULA ROTUNDIFOLIA",909.1,122.5,0.718230930031548,1,0,0,0,1,0,0,0,0,1,"Harebell",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"23","CAMPANULA ROTUNDIFOLIA",10.048,125,0.126,1,0,0,0,1,0,0,0,0,1,"Harebell",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"24","CAMPANULA ROTUNDIFOLIA",0.03,150,0.372,1,0,0,0,1,0,0,0,0,1,"Harebell",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"25","CAMPANULA ROTUNDIFOLIA",2.9,94,30.188679245283,1,0,0,0,1,0,0,0,0,1,"Harebell",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"26","CAMPANULA ROTUNDIFOLIA",0.489,22.8,20.9264305177112,1,0,0,0,1,0,0,0,0,1,"Harebell",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"27","CAMPANULA ROTUNDIFOLIA",5.657,200,0.198415841584158,1,0,0,0,1,0,0,0,0,1,"Harebell",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"28","CAMPANULA ROTUNDIFOLIA",2.4,51,0.23112,1,0,0,0,1,0,0,0,0,1,"Harebell",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"29","CAMPANULA ROTUNDIFOLIA",89.122,49,0.408,1,0,0,0,1,0,0,0,0,1,"Harebell",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"30","CAMPANULA ROTUNDIFOLIA",0.1814,92,0.362028301886792,1,0,0,0,1,0,0,0,0,1,"Harebell",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"31","ACHILLEA MILLEFOLIUM",0.28,31.5,0.3928,1,0,0,0,1,0,0,1,0,1,"Yarrow",0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
"32","ACHILLEA MILLEFOLIUM",1.24,175,0.253883235136583,1,0,0,0,1,0,0,1,0,1,"Yarrow",0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
"33","ACHILLEA MILLEFOLIUM",0.5028,58,0.143,1,0,0,0,1,0,0,1,0,1,"Yarrow",0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
"34","ACHILLEA MILLEFOLIUM",0.4888,95.9,0.258064516129032,1,0,0,0,1,0,0,1,0,1,"Yarrow",0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
"35","ACHILLEA MILLEFOLIUM",0.163,120,0.290821256038647,1,0,0,0,1,0,0,1,0,1,"Yarrow",0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
"36","ACHILLEA MILLEFOLIUM",6.727,122,39.2200147167035,1,0,0,0,1,0,0,1,0,1,"Yarrow",0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
"37","ACHILLEA MILLEFOLIUM",0.39,74,0.388,1,0,0,0,1,0,0,1,0,1,"Yarrow",0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
"38","ACHILLEA MILLEFOLIUM",0.074,82,0.313471502590674,1,0,0,0,1,0,0,1,0,1,"Yarrow",0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
"39","ACHILLEA MILLEFOLIUM",95.4931305263158,72,0.359,1,0,0,0,1,0,0,1,0,1,"Yarrow",0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
"40","ACHILLEA MILLEFOLIUM",2.7,33,0.273,1,0,0,0,1,0,0,1,0,1,"Yarrow",0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
"41","ACHILLEA MILLEFOLIUM",0.14,137,0.330166270783848,1,0,0,0,1,0,0,1,0,1,"Yarrow",0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
"42","ACHILLEA MILLEFOLIUM",2.4,203.2,0.47176929120839,1,0,0,0,1,0,0,1,0,1,"Yarrow",0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
"43","ACHILLEA MILLEFOLIUM",1.99,79,0.305427782888684,1,0,0,0,1,0,0,1,0,1,"Yarrow",0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
"44","ACHILLEA MILLEFOLIUM",0.699,67,0.287,1,0,0,0,1,0,0,1,0,1,"Yarrow",0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
"45","ACHILLEA MILLEFOLIUM",0.3,59,0.260626398210291,1,0,0,0,1,0,0,1,0,1,"Yarrow",0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
"46","CARDUUS NUTANS",23.1716,89,0.294117647058823,1,0,0,0,1,0,0,1,0,1,"Musk Thistle",1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"47","CARDUUS NUTANS",0.07,133,21.0526315789474,1,0,0,0,1,0,0,1,0,1,"Musk Thistle",1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"48","CARDUUS NUTANS",0.3,77,0.3,1,0,0,0,1,0,0,1,0,1,"Musk Thistle",1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"49","CARDUUS NUTANS",2.13,156,0.374651810584958,1,0,0,0,1,0,0,1,0,1,"Musk Thistle",1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"50","CARDUUS NUTANS",0.5008,49,0.434,1,0,0,0,1,0,0,1,0,1,"Musk Thistle",1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"51","CARDUUS NUTANS",1.17,18.05,0.288,1,0,0,0,1,0,0,1,0,1,"Musk Thistle",1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"52","CARDUUS NUTANS",0.25,137.16,23.8997405394821,1,0,0,0,1,0,0,1,0,1,"Musk Thistle",1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"53","CARDUUS NUTANS",1.3,82,0.295,1,0,0,0,1,0,0,1,0,1,"Musk Thistle",1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"54","CARDUUS NUTANS",2.7,11,0.178588574171868,1,0,0,0,1,0,0,1,0,1,"Musk Thistle",1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"55","CARDUUS NUTANS",1.61,95,0.327,1,0,0,0,1,0,0,1,0,1,"Musk Thistle",1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"56","CARDUUS NUTANS",10,55,0.336882865440465,1,0,0,0,1,0,0,1,0,1,"Musk Thistle",1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"57","CARDUUS NUTANS",0.314,10,0.358,1,0,0,0,1,0,0,1,0,1,"Musk Thistle",1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"58","CARDUUS NUTANS",106.5,56,0.38618,1,0,0,0,1,0,0,1,0,1,"Musk Thistle",1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"59","CARDUUS NUTANS",12.62,91.44,0.298969072164948,1,0,0,0,1,0,0,1,0,1,"Musk Thistle",1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"60","CARDUUS NUTANS",89.122,74,17.0560747663551,1,0,0,0,1,0,0,1,0,1,"Musk Thistle",1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"61","HELIANTHUS MAXIMILIANI",0.07,10,0.327,1,0,0,0,0,0,0,1,0,1,"Maximilian's sunflower",0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"62","HELIANTHUS MAXIMILIANI",923.813380855397,86,0.252456538170824,1,0,0,0,0,0,0,1,0,1,"Maximilian's sunflower",0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"63","HELIANTHUS MAXIMILIANI",1.0547,18,0.163265306122449,1,0,0,0,0,0,0,1,0,1,"Maximilian's sunflower",0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"64","HELIANTHUS MAXIMILIANI",0.04,78,0.421,1,0,0,0,0,0,0,1,0,1,"Maximilian's sunflower",0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"65","HELIANTHUS MAXIMILIANI",0.161,21.3,0.248,1,0,0,0,0,0,0,1,0,1,"Maximilian's sunflower",0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"66","HELIANTHUS MAXIMILIANI",0.13,25,0.25,1,0,0,0,0,0,0,1,0,1,"Maximilian's sunflower",0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"67","HELIANTHUS MAXIMILIANI",0.044,36.7,20.1046337817638,1,0,0,0,0,0,0,1,0,1,"Maximilian's sunflower",0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"68","HELIANTHUS MAXIMILIANI",1.34332,37,36.7307692307692,1,0,0,0,0,0,0,1,0,1,"Maximilian's sunflower",0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"69","HELIANTHUS MAXIMILIANI",10.5,63,0.309,1,0,0,0,0,0,0,1,0,1,"Maximilian's sunflower",0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"70","HELIANTHUS MAXIMILIANI",0.06,89,0.367,1,0,0,0,0,0,0,1,0,1,"Maximilian's sunflower",0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"71","HELIANTHUS MAXIMILIANI",2.676,93,0.287732342007435,1,0,0,0,0,0,0,1,0,1,"Maximilian's sunflower",0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"72","HELIANTHUS MAXIMILIANI",0.1054,57,16.5191740412979,1,0,0,0,0,0,0,1,0,1,"Maximilian's sunflower",0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"73","HELIANTHUS MAXIMILIANI",0.102,52,0.35,1,0,0,0,0,0,0,1,0,1,"Maximilian's sunflower",0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"74","HELIANTHUS MAXIMILIANI",0.31,18,0.3,1,0,0,0,0,0,0,1,0,1,"Maximilian's sunflower",0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"75","HELIANTHUS MAXIMILIANI",10.64,7.8,0.259,1,0,0,0,0,0,0,1,0,1,"Maximilian's sunflower",0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"76","ELYMUS REPENS",5.2,65,0.278982092365693,1,0,0,0,1,0,1,1,0,0,"Quack grass",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"77","ELYMUS REPENS",0.4,90,0.149,1,0,0,0,1,0,1,1,0,0,"Quack grass",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"78","ELYMUS REPENS",0.91,28,41.4634146341463,1,0,0,0,1,0,1,1,0,0,"Quack grass",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"79","ELYMUS REPENS",0.132,50,0.3928,1,0,0,0,1,0,1,1,0,0,"Quack grass",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"80","ELYMUS REPENS",0.069,70,0.16159,1,0,0,0,1,0,1,1,0,0,"Quack grass",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"81","ELYMUS REPENS",4.7090909,10.68731269,32.9268292682927,1,0,0,0,1,0,1,1,0,0,"Quack grass",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"82","ELYMUS REPENS",1.314,26,0.233861144945189,1,0,0,0,1,0,1,1,0,0,"Quack grass",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"83","ELYMUS REPENS",0.85,32,0.263,1,0,0,0,1,0,1,1,0,0,"Quack grass",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"84","ELYMUS REPENS",5.35,100,0.295782208588957,1,0,0,0,1,0,1,1,0,0,"Quack grass",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"85","ELYMUS REPENS",0.658,80,33.878729547642,1,0,0,0,1,0,1,1,0,0,"Quack grass",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"86","ELYMUS REPENS",2.42,31.3,0.243181818181818,1,0,0,0,1,0,1,1,0,0,"Quack grass",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"87","ELYMUS REPENS",0.05,8,0.198792673,1,0,0,0,1,0,1,1,0,0,"Quack grass",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"88","ELYMUS REPENS",5.1,23,0.193,1,0,0,0,1,0,1,1,0,0,"Quack grass",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"89","ELYMUS REPENS",250000,14.40471634,39.1906283280085,1,0,0,0,1,0,1,1,0,0,"Quack grass",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"90","ELYMUS REPENS",2.6,122.5,0.129287598944591,1,0,0,0,1,0,1,1,0,0,"Quack grass",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"91","MONARDA FISTULOSA",1.32,88.6,0.308,1,0,0,0,1,0,0,0,0,1,"Wild bergamot",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"92","MONARDA FISTULOSA",6.97,138,19.1742882906093,1,0,0,0,1,0,0,0,0,1,"Wild bergamot",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"93","MONARDA FISTULOSA",4.861,109,0.332326283987915,1,0,0,0,1,0,0,0,0,1,"Wild bergamot",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"94","MONARDA FISTULOSA",0.46,40,0.306,1,0,0,0,1,0,0,0,0,1,"Wild bergamot",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"95","MONARDA FISTULOSA",2.723,6,0.2605,1,0,0,0,1,0,0,0,0,1,"Wild bergamot",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"96","MONARDA FISTULOSA",1.17,35,0.209,1,0,0,0,1,0,0,0,0,1,"Wild bergamot",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"97","MONARDA FISTULOSA",0.133,181.3,0.271,1,0,0,0,1,0,0,0,0,1,"Wild bergamot",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"98","MONARDA FISTULOSA",0.3,30.48,0.22839,1,0,0,0,1,0,0,0,0,1,"Wild bergamot",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"99","MONARDA FISTULOSA",0.23,35,0.325,1,0,0,0,1,0,0,0,0,1,"Wild bergamot",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"100","MONARDA FISTULOSA",0.273,104,0.187993680884676,1,0,0,0,1,0,0,0,0,1,"Wild bergamot",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"101","MONARDA FISTULOSA",1.575,109.5,27.8679937139864,1,0,0,0,1,0,0,0,0,1,"Wild bergamot",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"102","MONARDA FISTULOSA",0.155,23,30.5898491083676,1,0,0,0,1,0,0,0,0,1,"Wild bergamot",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"103","MONARDA FISTULOSA",1.764,129,35.7473035439137,1,0,0,0,1,0,0,0,0,1,"Wild bergamot",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"104","MONARDA FISTULOSA",1.1,64,0.411,1,0,0,0,1,0,0,0,0,1,"Wild bergamot",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"105","MONARDA FISTULOSA",0.1,100,0.35,1,0,0,0,1,0,0,0,0,1,"Wild bergamot",0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"106","LOTUS CORNICULATUS",166.58,700,0.344298245614035,1,0,0,0,0,1,0,1,0,1,"Birdsfoot trefoil",0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"107","LOTUS CORNICULATUS",0.85,100,0.1976907913,1,0,0,0,0,1,0,1,0,1,"Birdsfoot trefoil",0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"108","LOTUS CORNICULATUS",0.3,127,0.256317689530686,1,0,0,0,0,1,0,1,0,1,"Birdsfoot trefoil",0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"109","LOTUS CORNICULATUS",27.8811594,74,0.2785157,1,0,0,0,0,1,0,1,0,1,"Birdsfoot trefoil",0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"110","LOTUS CORNICULATUS",0.04,29.3,0.5259,1,0,0,0,0,1,0,1,0,1,"Birdsfoot trefoil",0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"111","LOTUS CORNICULATUS",4.18,36,0.246525679758308,1,0,0,0,0,1,0,1,0,1,"Birdsfoot trefoil",0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"112","LOTUS CORNICULATUS",0.529,201,0.323101777059774,1,0,0,0,0,1,0,1,0,1,"Birdsfoot trefoil",0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"113","LOTUS CORNICULATUS",0.8004,33,0.134464788732394,1,0,0,0,0,1,0,1,0,1,"Birdsfoot trefoil",0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"114","LOTUS CORNICULATUS",1.458,32.5,0.34,1,0,0,0,0,1,0,1,0,1,"Birdsfoot trefoil",0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"115","LOTUS CORNICULATUS",4.1,56,0.293,1,0,0,0,0,1,0,1,0,1,"Birdsfoot trefoil",0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"116","LOTUS CORNICULATUS",0.5,900,0.277,1,0,0,0,0,1,0,1,0,1,"Birdsfoot trefoil",0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"117","LOTUS CORNICULATUS",6.3,2200,0.213182508,1,0,0,0,0,1,0,1,0,1,"Birdsfoot trefoil",0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"118","LOTUS CORNICULATUS",0.1672,531.3,0.20888,1,0,0,0,0,1,0,1,0,1,"Birdsfoot trefoil",0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"119","LOTUS CORNICULATUS",0.246,45,0.381,1,0,0,0,0,1,0,1,0,1,"Birdsfoot trefoil",0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"120","LOTUS CORNICULATUS",4.78,120,0.31,1,0,0,0,0,1,0,1,0,1,"Birdsfoot trefoil",0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"121","CERASTIUM ARVENSE",0.069,59,32.4257425742574,1,0,0,0,1,0,0,1,0,1,"Field chickweed",0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"122","CERASTIUM ARVENSE",0.317,70,0.305,1,0,0,0,1,0,0,1,0,1,"Field chickweed",0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"123","CERASTIUM ARVENSE",0.314,95,0.291081070109203,1,0,0,0,1,0,0,1,0,1,"Field chickweed",0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"124","CERASTIUM ARVENSE",2.2716,3.1,31.1437908496732,1,0,0,0,1,0,0,1,0,1,"Field chickweed",0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"125","CERASTIUM ARVENSE",0.202,19.7,0.409,1,0,0,0,1,0,0,1,0,1,"Field chickweed",0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"126","CERASTIUM ARVENSE",6.4308,5,0.255729794933655,1,0,0,0,1,0,0,1,0,1,"Field chickweed",0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"127","CERASTIUM ARVENSE",0.47,36,0.62417127605851,1,0,0,0,1,0,0,1,0,1,"Field chickweed",0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"128","CERASTIUM ARVENSE",2.4,23,0.259,1,0,0,0,1,0,0,1,0,1,"Field chickweed",0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"129","CERASTIUM ARVENSE",0.301,11,0.143,1,0,0,0,1,0,0,1,0,1,"Field chickweed",0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"130","CERASTIUM ARVENSE",1.65,66,0.1638,1,0,0,0,1,0,0,1,0,1,"Field chickweed",0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"131","CERASTIUM ARVENSE",0.3,9,0.467,1,0,0,0,1,0,0,1,0,1,"Field chickweed",0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
